TASK,NAME,EMAIL,STAT…,CREA…,UPDA…,DELE…,FILE…,FILE…
Eure…,Bria…,54115,-80.…,4.37,5.15,Mani…,Appl…,0.59
Card…,Bria…,54115,-89.…,4.98,4.95,Mani…,Bind…,0.37
Acce…,Loga…,54437,-311…,55.99,5,Mani…,Tele…,0.83
T193,Guy…,54501,481.7,65.99,4.99,Mani…,Tele…,0.57
Shar…,Guy…,54501,-33.…,13.99,7.51,Mani…,Offi…,0.39
Tenn…,Guy…,54501,-119…,20.34,35,Mani…,Stor…,0.84
T39m,Chri…,54753,1380…,155.…,3.9,Mani…,Tele…,0.55
Tenn…,Jim…,55138,-628…,48.91,35,Mani…,Stor…,0.83
Offi…,Carl…,55271,-210…,100.…,42,Mani…,Chai…,0.61
Colo…,Jenn…,55331,-8.24,3.69,2.5,Mani…,Enve…,0.39
Acce…,Bria…,55618,479.…,35.99,1.25,Mani…,Tele…,0.57
Xero…,Haro…,56645,65.82,30.98,17.08,Mani…,Paper,0.4
Bret…,Haro…,56645,3277…,348.…,40.19,Mani…,Tabl…,0.62
Xero…,Carl…,56803,-103…,6.48,5.9,Mani…,Paper,0.37
Hon…,Hila…,57159,-635…,280.…,57,Mani…,Chai…,0.78
Hamm…,Hila…,57159,-214…,9.99,11.59,Mani…,Paper,0.4
GBC…,Loga…,57507,-19.…,15.01,8.4,Mani…,Bind…,0.39
Acme…,Guy…,57922,-287…,6.84,8.37,Mani…,Scis…,0.58
Serr…,Eric…,58117,-62.…,3.14,1.92,Mani…,Scis…,0.84
"GE 4…",Loga…,58278,2093…,99.23,8.99,Mani…,Offi…,0.35
Acce…,Loga…,58278,-434…,85.99,0.99,Mani…,Tele…,0.85
Hon…,Haro…,58502,1009…,226.…,28.16,Mani…,Chai…,0.59
Belk…,Chri…,58788,43.72,30.98,6.5,Mani…,Comp…,0.64
TOPS…,Hele…,58947,102.…,8.01,2.87,Mani…,Paper,0.4
Xero…,Hele…,58947,-67.…,4.98,5.02,Mani…,Paper,0.38
"GE 4…",Jack…,59074,70.8,14.98,8.99,Brit…,Offi…,0.39
Bush…,Jack…,59233,-160…,100.…,35.84,Brit…,Book…,0.62
Nu-D…,Jack…,59233,7.69,14.34,5,Brit…,Offi…,0.49
Micr…,Giul…,59425,717.…,83.1,6.13,Brit…,Comp…,0.45
Snap…,Giul…,59425,741.…,37.94,5.08,Brit…,Paper,0.38
Xero…,Jim…,59750,-66.…,6.48,5.74,Brit…,Paper,0.37
Dixo…,Juli…,35,60.72,9.11,2.25,Brit…,Pens…,0.52
"CF 6…",Juli…,35,48.99,155.…,8.99,Brit…,Tele…,0.58
Fell…,Sanj…,294,489.…,193.…,19.99,Brit…,Stor…,0.71
Pana…,Matt…,450,109.…,34.58,8.99,Brit…,Pens…,0.56
Hang…,Matt…,450,-211…,15.7,11.25,Brit…,Stor…,0.6
Memo…,Matt…,1028,-28.…,28.48,1.99,Brit…,Comp…,0.4
3285,Matt…,1028,-60.…,205.…,5.99,Brit…,Tele…,0.59
Wire…,Just…,1314,-7.61,9.27,4.39,Brit…,Paper,0.38
Offi…,Rob…,2279,205.…,90.98,30,Brit…,Chai…,0.61
Acco…,Rob…,2279,52.53,20.98,5.42,Brit…,Stor…,0.66
"80 M…",Rob…,2465,271.…,39.48,1.99,Brit…,Comp…,0.54
Aver…,Rob…,2530,4.58,2.61,0.5,Brit…,Labe…,0.39
Fell…,Rob…,2883,177.…,64.98,6.88,Brit…,Stor…,0.73
Imat…,Chri…,3362,734.…,40.98,1.99,Brit…,Comp…,0.44
Eldo…,Chri…,3362,-109…,15.14,4.53,Brit…,Stor…,0.81
Kens…,Matt…,5318,195.…,131.…,0.99,Brit…,Appl…,0.55
2160i,Matt…,5318,1196…,200.…,4.2,Brit…,Tele…,0.59
Shar…,Sanj…,5988,-379…,499.…,24.49,Brit…,Copi…,0.36
Seth…,Matt…,6115,78.86,17.78,5.03,Brit…,Offi…,0.54
Tene…,Just…,6337,-912…,70.71,37.58,Brit…,Offi…,0.78
Bret…,Just…,6337,-261…,376.…,85.63,Brit…,Tabl…,0.74
Wire…,Rob…,6434,14.49,4.76,0.88,Brit…,Paper,0.39
"80 M…",Lena…,7136,88.72,39.48,1.99,Brit…,Comp…,0.54
Aver…,Lena…,7136,17.05,4.91,0.5,Brit…,Labe…,0.36
O'Su…,Kimb…,7489,552.…,180.…,23.58,Brit…,Book…,0.74
Novi…,Gene…,7968,-270,150.…,30,Brit…,Chai…,0.74
Imat…,Chri…,8227,-43.…,4.77,2.39,Brit…,Comp…,0.72
Proj…,Matt…,9123,-108…,14.03,9.37,Brit…,Stor…,0.56
"3M O…",Sall…,9792,-73.…,5.4,7.78,Brit…,Bind…,0.37
Imat…,Kimb…,9860,-73.…,7.28,3.52,Brit…,Comp…,0.68
Sanf…,Chri…,10310,9.59,2.88,1.01,Brit…,Pens…,0.55
R380,Chri…,10310,-655…,195.…,3.99,Brit…,Tele…,0.58
Xero…,Kimb…,10369,-12.…,5.78,4.96,Brit…,Paper,0.36
Imat…,Kimb…,10369,-95.…,28.48,8.99,Brit…,Comp…,0.7
Barr…,Rob…,10692,-69.…,3.57,4.17,Brit…,Pens…,0.59
2160i,Rob…,10692,2369…,200.…,4.2,Brit…,Tele…,0.59
A1228,Rob…,10692,-457…,195.…,8.99,Brit…,Tele…,0.58
Goul…,Just…,11553,-517…,52.99,19.99,Brit…,Stor…,0.81
Bush…,Just…,11553,-429…,100.…,57.38,Brit…,Book…,0.78
Acce…,Just…,11553,365.…,85.99,0.99,Brit…,Tele…,0.55
Bagg…,Chri…,11776,-14.1,1.26,0.7,Brit…,Rubb…,0.81
Hamm…,Mari…,11782,-63.…,4.98,4.75,Brit…,Paper,0.36
Pana…,Mari…,11782,14.35,66.99,13.99,Brit…,Tele…,0.6
Wils…,Just…,12199,-10.…,6.54,5.27,Brit…,Bind…,0.36
Dual…,Just…,12199,3051…,155.…,7.07,Brit…,Stor…,0.59
Econ…,Gene…,14275,-7.73,2.08,1.49,Brit…,Bind…,0.36
Offi…,Gene…,14275,-187…,160.…,30,Brit…,Chai…,0.62
X-Ra…,Gene…,14535,-33.…,11.29,5.03,Brit…,Stor…,0.59
Verb…,Rob…,15329,319.…,29.89,1.99,Brit…,Comp…,0.5
Newe…,Gene…,15621,-13.…,1.68,1.57,Brit…,Pens…,0.59
Eldo…,Gene…,15621,-136…,28.28,13.99,Brit…,Stor…,0.58
Aver…,Mich…,17826,-88.…,3.89,7.01,Brit…,Bind…,0.37
Eldo…,Sall…,17926,-70.…,15.31,8.78,Brit…,Stor…,0.57
Mast…,Rob…,18247,27.22,7.59,4,Brit…,Offi…,0.42
Newe…,Just…,18471,46.41,5.98,0.96,Brit…,Pens…,0.6
Klee…,Just…,18471,-8.02,2.08,2.56,Brit…,Scis…,0.55
Xero…,Just…,18471,-47.…,5.98,5.46,Brit…,Paper,0.36
T61,Lena…,19813,218.…,45.99,2.5,Brit…,Tele…,0.56
Aver…,Seth…,20322,-183…,3.58,5.47,Brit…,Bind…,0.37
Bush…,Seth…,20322,-129…,100.…,35.84,Brit…,Book…,0.62
Xero…,Seth…,20322,-72.…,5.78,7.96,Brit…,Paper,0.36
Nu-D…,Gene…,20422,115.…,14.34,5,Brit…,Offi…,0.49
Colo…,Luke…,20448,6.84,3.69,2.5,Brit…,Enve…,0.39
Pres…,Just…,21892,-18.…,4.91,4.97,Brit…,Bind…,0.38
Eldo…,Rob…,22980,-27.…,12.44,6.27,Brit…,Stor…,0.57
6190,Juli…,23907,-164…,65.99,2.5,Brit…,Tele…,0.55
Pana…,Sanj…,24064,935.8,297.…,14.7,Brit…,Offi…,0.57
Wils…,Just…,24132,-4.49,6.75,2.99,Brit…,Bind…,0.35
Wils…,Just…,24132,-101…,7.1,6.05,Brit…,Bind…,0.39
Fell…,Just…,24132,-1.88,20.95,4,Brit…,Comp…,0.6
Ibic…,Just…,24132,339.…,39.06,10.55,Brit…,Bind…,0.37
Self…,Just…,24132,-57.…,3.52,6.83,Brit…,Bind…,0.38
Tene…,Just…,24132,-47.…,15.51,17.78,Brit…,Stor…,0.59
1726…,Luke…,24576,24.56,20.99,4.81,Brit…,Tele…,0.58
DAX…,Luke…,24576,38.02,14.58,7.4,Brit…,Offi…,0.48
"80 M…",Chri…,25248,29.21,8.33,1.99,Brit…,Comp…,0.52
Xero…,Chri…,25248,418.…,48.91,5.81,Brit…,Paper,0.38
Xero…,Lena…,25475,-191…,6.48,7.49,Brit…,Paper,0.37
Comp…,Seth…,26978,-21.2,18.97,9.03,Brit…,Paper,0.37
Waus…,Sanj…,27105,39.63,5.98,2.5,Brit…,Enve…,0.36
Exec…,Sanj…,27105,26.21,10.4,5.4,Brit…,Offi…,0.51
Belk…,Juli…,28068,-43.…,27.48,4,Brit…,Comp…,0.75
Exec…,Sanj…,28802,51.36,17.67,8.99,Brit…,Offi…,0.47
Sout…,Sanj…,28802,25.95,8.34,4.82,Brit…,Paper,0.4
6185,Sanj…,28802,884.…,205.…,3,Brit…,Tele…,0.58
Eldo…,Anth…,28839,-175…,3.34,7.49,Brit…,Pens…,0.54
Xero…,Anth…,29252,-15.…,6.48,5.19,Brit…,Paper,0.37
Hone…,Kimb…,31941,650.…,78.65,13.99,Brit…,Appl…,0.52
Xero…,Kimb…,31941,-43.5,6.48,9.68,Brit…,Paper,0.36
Hon…,Mari…,32418,-131…,243.…,43.32,Brit…,Chai…,0.55
Stra…,Sanj…,34241,16.23,52.71,2.5,Brit…,Enve…,0.36
Fell…,Sall…,34816,267.…,41.71,4.5,Brit…,Appl…,0.56
Tyve…,Sall…,34816,590.…,60.98,19.99,Brit…,Enve…,0.38
Fisk…,Luke…,35011,-2.31,10.98,3.37,Brit…,Scis…,0.57
Sany…,Anth…,36068,1243…,279.…,23.19,Brit…,Appl…,0.59
Acce…,Mich…,36930,1325…,85.99,3.3,Brit…,Tele…,0.37
Xero…,Luke…,37315,-133…,4.28,5.17,Brit…,Paper,0.4
5165,Luke…,37315,1176…,175.…,4.99,Brit…,Tele…,0.59
Lexm…,Luke…,37925,1265…,90.97,14,Brit…,Offi…,0.36
Star…,Luke…,37925,394.…,65.99,3.99,Brit…,Tele…,0.59
Prem…,Rob…,38021,709.…,30.44,1.49,Brit…,Bind…,0.37
Wils…,Juli…,38336,2.82,6.75,2.99,Brit…,Bind…,0.35
Micr…,Juli…,38336,-116…,10.97,6.5,Brit…,Comp…,0.64
Eldo…,Just…,38565,-11.…,10.64,5.16,Brit…,Offi…,0.57
Eure…,Sall…,39783,-94.…,4.06,6.89,Brit…,Appl…,0.6
GBC…,Sall…,39783,5.02,8.85,5.6,Brit…,Bind…,0.36
Aver…,Sall…,39783,39.9,3.15,0.5,Brit…,Labe…,0.37
Fell…,Mich…,42500,437.…,48.92,4.5,Brit…,Appl…,0.59
Card…,Mich…,42500,-10.…,8.69,2.99,Brit…,Bind…,0.39
Fisk…,Juli…,44162,42.76,10.98,3.37,Brit…,Scis…,0.57
TOPS…,Sall…,44256,48.45,8.01,2.87,Brit…,Paper,0.4
Xero…,Sall…,44256,-38.…,6.48,5.84,Brit…,Paper,0.37
Sanf…,Sall…,44256,182.…,40.97,8.99,Brit…,Pens…,0.59
Lami…,Sall…,44320,-164…,154.…,69,Brit…,Tabl…,0.68
Roun…,Kimb…,45377,-22.9,2.08,1.49,Brit…,Bind…,0.38
Dura…,Rob…,47367,-0.17,3.8,1.49,Brit…,Bind…,0.38
Aver…,Rob…,47367,2.28,3.69,0.5,Brit…,Labe…,0.38
Aver…,Sall…,47750,36.64,2.88,0.5,Brit…,Labe…,0.39
Exec…,Sall…,47750,216.…,25.38,8.99,Brit…,Offi…,0.5
Bind…,Mari…,48388,-13.…,5.74,5.01,Brit…,Bind…,0.39
Aver…,Chri…,49059,45.51,2.89,0.5,Brit…,Labe…,0.38
Xero…,Chri…,49059,32.86,48.91,5.81,Brit…,Paper,0.38
DIXO…,Luke…,49510,-6.22,2.58,1.3,Brit…,Pens…,0.59
Aver…,Sall…,49634,10.91,2.88,1.49,Brit…,Bind…,0.36
Aver…,Mich…,50210,82.3,3.75,0.5,Brit…,Labe…,0.37
Supe…,Mich…,50210,-30.…,1.86,2.58,Brit…,Rubb…,0.82
iDEN…,Sanj…,50503,-186…,65.99,19.99,Brit…,Tele…,0.59
Stap…,Anth…,50816,-35.…,11.97,4.98,Brit…,Appl…,0.58
Lock…,Anth…,50816,302.8,28.53,1.49,Brit…,Bind…,0.38
Memo…,Anth…,50816,-12.…,15.28,1.99,Brit…,Comp…,0.42
"3M P…",Luke…,51073,958.8,136.…,24.49,Brit…,Offi…,0.59
Adva…,Luke…,51073,813.…,30.93,3.92,Brit…,Offi…,0.44
Offi…,Rob…,51584,176.…,110.…,30,Brit…,Chai…,0.71
Howa…,Moni…,51879,372.…,51.94,19.99,Brit…,Offi…,0.44
Sout…,Moni…,51879,212.…,19.98,8.68,Brit…,Paper,0.37
Howa…,Kimb…,52288,545.…,78.69,19.99,Brit…,Offi…,0.43
Lock…,Mich…,53190,74.64,28.53,1.49,Brit…,Bind…,0.38
Star…,Mich…,53190,-170…,65.99,3.99,Brit…,Tele…,0.59
Seth…,Sanj…,53536,109.…,22.98,7.58,Brit…,Offi…,0.51
Bevi…,Sanj…,53536,-234…,179.…,56.2,Brit…,Tabl…,0.71
#10…,Mari…,53572,4.79,11.09,5.25,Brit…,Enve…,0.36
Xero…,Joy…,53825,649.8,48.04,7.23,Brit…,Paper,0.37
Fell…,Chri…,53863,1660…,161.…,19.99,Brit…,Stor…,0.66
Adva…,Moni…,54119,-43.…,5.81,3.37,Brit…,Rubb…,0.54
Acco…,Moni…,54119,-41.…,29.74,6.64,Brit…,Stor…,0.7
Acco…,Mich…,56224,-117…,3.81,5.44,Brit…,Bind…,0.36
Bevi…,Mich…,56224,-111…,95.95,74.35,Brit…,Chai…,0.57
Stap…,Mich…,56224,48.59,7.89,2.82,Brit…,Rubb…,0.4
Bevi…,Mich…,56224,-153…,124.…,51.94,Brit…,Tabl…,0.63
Tele…,Mich…,56293,-44.…,19.99,11.17,Brit…,Offi…,0.6
Tene…,Mich…,56293,-27.…,16.91,6.25,Brit…,Stor…,0.58
Adva…,Sall…,57959,-32.…,5.81,3.37,Brit…,Rubb…,0.54
Micr…,Sall…,57959,-65.…,26.31,5.89,Brit…,Comp…,0.75
"LX 6…",Chri…,58500,14.01,110.…,8.99,Brit…,Tele…,0.57
Bush…,Joy…,59584,-160…,100.…,35.84,Brit…,Book…,0.62
Cano…,Joy…,59584,16.81,150.…,13.99,Brit…,Offi…,0.38
7160,Soni…,261,1680…,140.…,4.2,Brit…,Tele…,0.59
Belk…,Anth…,928,300.…,59.98,3.99,Brit…,Appl…,0.57
DAX…,Anth…,928,45,14.58,7.4,Brit…,Offi…,0.48
Memo…,Emil…,1282,366.…,31.78,1.99,Brit…,Comp…,0.42
Pran…,Emil…,1282,-2.06,2.78,1.34,Brit…,Pens…,0.45
Euro…,Alex…,1856,-712…,60.98,49,Brit…,Appl…,0.59
M3682,Alex…,1856,973.…,125.…,8.08,Brit…,Tele…,0.57
Star…,Alex…,1856,676.…,125.…,8.8,Brit…,Tele…,0.59
SAFC…,Bria…,1925,67.84,276.2,24.49,Brit…,Chai…,
Eldo…,Emil…,2848,-303…,43.31,15.9,Brit…,Offi…,0.75
SC78…,Emil…,2848,-264…,125.…,8.99,Brit…,Tele…,0.55
"HP O…",Anna…,5504,-20.…,5.78,7.64,Brit…,Paper,0.36
"KF 7…",Anna…,5504,20.23,45.99,4.99,Brit…,Tele…,0.56
Logi…,Emil…,8390,-99.…,30.98,4,Brit…,Comp…,0.8
ACCO…,Barb…,8545,-77.…,4.13,5.34,Brit…,Bind…,0.38
O'Su…,Barb…,8545,-662…,130.…,54.74,Brit…,Book…,0.69
Serr…,Emil…,9573,-59.…,3.14,1.92,Brit…,Scis…,0.84
Tyve…,Kell…,9892,424.…,27.18,8.23,Brit…,Enve…,0.38
Keyt…,Soni…,10048,97.16,73.98,4,Brit…,Comp…,0.77
*Sta…,Soni…,10048,-20.…,3.68,1.32,Brit…,Scis…,0.83
Hon…,Soni…,10144,103.…,355.…,58.92,Brit…,Chai…,0.64
Offi…,Soni…,10144,-98.3,160.…,30,Brit…,Chai…,0.62
Glob…,Soni…,10144,539.…,280.…,35.67,Brit…,Tabl…,0.66
Moto…,Soni…,10432,220.…,179.…,19.99,Brit…,Comp…,0.48
Acme…,Joca…,10661,-99.…,6.84,8.37,Brit…,Scis…,0.58
Jet-…,Soni…,12806,107.…,35.89,14.72,Brit…,Enve…,0.4
Wils…,Kell…,13158,29.33,6.75,2.99,Brit…,Bind…,0.35
Stra…,Anna…,13507,-75.…,6.78,6.18,Brit…,Paper,0.39
Xero…,Rick…,14375,-21.…,5.78,5.67,Brit…,Paper,0.36
GBC…,Soni…,14627,67.86,14.48,6.46,Brit…,Bind…,0.38
GBC…,Ange…,14852,1234…,420.…,19.99,Brit…,Bind…,0.35
Self…,Soni…,16230,-7.86,7.31,0.49,Brit…,Labe…,0.38
O'Su…,Soni…,16230,-801…,130.…,54.74,Brit…,Book…,0.69
Xero…,Soni…,16230,223.…,48.91,5.81,Brit…,Paper,0.38
Fell…,Soni…,16230,506.…,111.…,8.64,Brit…,Stor…,0.78
1.7…,Soni…,19074,191.…,208.…,68.02,Brit…,Appl…,0.58
DAX…,Denn…,20194,68.89,20.24,6.67,Brit…,Offi…,0.49
Newe…,Stew…,21024,33.8,5.84,1.2,Brit…,Pens…,0.55
Aver…,Denn…,21509,15.82,3.69,0.5,Brit…,Labe…,0.38
Aver…,Soni…,21856,71.77,3.69,0.5,Brit…,Labe…,0.38
Serr…,Soni…,21856,-47.…,3.14,1.92,Brit…,Scis…,0.84
Eure…,Stew…,22119,-122…,49.43,19.99,Brit…,Appl…,0.57
Airm…,Kell…,22534,-44.…,83.93,19.99,Brit…,Enve…,0.38
Keyt…,Soni…,22629,-243…,73.98,14.52,Brit…,Comp…,0.65
TDK…,Kell…,23011,-33.…,10.01,1.99,Brit…,Comp…,0.41
Pres…,Soni…,24070,-98.…,4.91,4.97,Brit…,Bind…,0.38
Hon…,Soni…,24070,-164…,140.…,24.49,Brit…,Chai…,0.57
Newe…,Soni…,24070,88.8,5.58,0.7,Brit…,Pens…,0.6
Glob…,Soni…,24737,-210…,180.…,26.2,Brit…,Chai…,0.59
Xero…,Soni…,24737,-28.…,6.48,5.19,Brit…,Paper,0.37
Belk…,Anna…,26373,2.3,40.98,5.33,Brit…,Appl…,0.57
Cano…,Seth…,26978,-635…,599.…,24.49,Brit…,Copi…,0.44
Xero…,Seth…,26978,938.…,40.99,5.86,Brit…,Paper,0.36
Eldo…,Seth…,26978,-157…,15.31,8.78,Brit…,Stor…,0.57
Acce…,Alex…,27174,-245…,35.99,5,Brit…,Tele…,0.85
Bero…,Sara…,27876,-70.…,16.99,8.99,Brit…,Pens…,0.56
Verb…,Alex…,28582,423.…,39.24,1.99,Brit…,Comp…,0.51
TOPS…,Alex…,28582,87.96,8.01,2.87,Brit…,Paper,0.4
Xero…,Anna…,28868,-142…,6.48,8.73,Brit…,Paper,0.37
Saud…,Ange…,29857,-639…,140.…,36.09,Brit…,Book…,0.77
GBC…,Soni…,29921,1733…,120.…,9.07,Brit…,Bind…,0.35
Acce…,Kell…,30659,-106…,85.99,0.99,Brit…,Tele…,0.85
Lesr…,Anna…,30660,-647…,71.37,69,Brit…,Tabl…,0.68
Adam…,Alex…,30883,59.84,6.98,1.6,Brit…,Paper,0.38
Micr…,Jim…,32871,9.72,20.97,4,Brit…,Comp…,0.77
Xero…,Soni…,33600,-94.…,4.28,4.79,Brit…,Paper,0.4
636,Alex…,33632,-277…,115.…,5.26,Brit…,Tele…,0.57
Glob…,Lisa…,33665,1063…,284.…,69.55,Brit…,Chai…,0.6
Wils…,Barb…,34434,-63.…,1.8,4.79,Brit…,Bind…,0.37
Aver…,Barb…,34434,50.66,4.98,0.49,Brit…,Labe…,0.39
Acce…,Barb…,34753,-63.7,20.99,0.99,Brit…,Tele…,0.57
Xero…,Lisa…,35364,-54.…,4.28,5.68,Brit…,Paper,0.4
Bret…,Lisa…,35364,-871…,376.…,85.63,Brit…,Tabl…,0.74
Bush…,Lisa…,35364,455.…,424.…,110.2,Brit…,Tabl…,0.67
T28…,Lisa…,35364,-554…,195.…,8.99,Brit…,Tele…,0.6
Hon…,Barb…,35812,-112…,113.…,30,Brit…,Chai…,0.69
Fell…,Barb…,35812,-147…,30.73,4,Brit…,Comp…,0.75
Xero…,Barb…,35812,307.…,47.9,5.86,Brit…,Paper,0.37
Exec…,Alex…,37063,89.6,17.67,8.99,Brit…,Offi…,0.47
1726…,Roy…,37281,3.31,20.99,4.81,Brit…,Tele…,0.58
Hon…,Ange…,37798,813.…,291.…,48.8,Brit…,Chai…,0.56
Redi…,Seth…,38017,45.14,4.98,0.8,Brit…,Paper,0.36
Star…,Seth…,38017,453.…,125.…,7.69,Brit…,Tele…,0.59
Stap…,Sara…,38272,-20.…,1.88,1.49,Brit…,Bind…,0.37
Ades…,Kell…,39301,-521…,152.…,4,Brit…,Comp…,0.79
ACCO…,Denn…,39367,-146…,4.13,5.04,Brit…,Bind…,0.38
Ampa…,Denn…,39367,5.9,4.48,2.5,Brit…,Enve…,0.37
Imat…,Roy…,39655,-72.…,7.28,3.52,Brit…,Comp…,0.68
Dura…,Jim…,40803,9.24,3.8,1.49,Brit…,Bind…,0.38
Glob…,Jim…,40803,1512…,300.…,64.73,Brit…,Chai…,0.56
"3M O…",Barb…,40806,-41.…,5.4,7.78,Brit…,Bind…,0.37
Xero…,Anna…,43523,-97.…,5.98,5.46,Brit…,Paper,0.36
Adva…,Seth…,44199,-6.33,3.95,2,Brit…,Rubb…,0.53
Offi…,Alex…,44231,116.1,160.…,30,Brit…,Chai…,0.62
Belk…,Alex…,44231,-87.…,17.98,4,Brit…,Comp…,0.79
5185,Alex…,44231,311.…,115.…,8.99,Brit…,Tele…,0.58
Hon…,Soni…,45573,-151…,120.…,30,Brit…,Chai…,0.64
Aver…,Lisa…,45763,24.28,2.61,0.5,Brit…,Labe…,0.39
Xero…,Denn…,48165,-147…,6.48,9.54,Brit…,Paper,0.37
Dana…,Anth…,48197,154.…,40.97,14.45,Brit…,Offi…,0.57
Maxe…,Barb…,48484,67.96,16.48,1.99,Brit…,Comp…,0.42
DAX…,Barb…,48484,133.…,20.24,6.67,Brit…,Offi…,0.49
Comp…,Barb…,48484,153.8,18.97,9.03,Brit…,Paper,0.37
